stoties_kodas,ilguma,platuma,oro_temp,juntamoji_temp,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,year,month
panevezio-ams,24.417184,55.735154,15.088936781609195,14.94295977011494,33.702586206896555,1019.2341954022988,65.24137931034483,33.6,2024,05
raseiniu-ams,23.133073,55.394569,14.59051724137931,14.434195402298851,34.14224137931034,1018.8079022988506,67.20402298850574,37.4,2024,05
siauliu-ams,23.331111,55.942222,14.774425287356323,14.65272988505747,35.16954022988506,1019.3670977011494,63.560344827586206,20.3,2024,05
silutes-ams,21.446944,55.352222,16.487643678160918,16.38419540229885,35.77442528735632,1018.5479885057472,62.122126436781606,19.3,2024,05
telsiu-ams,22.256657,55.991245,15.215086206896553,15.042959770114942,34.9669540229885,1018.7458333333333,59.916666666666664,41.5,2024,05
ukmerges-ams,24.760335,55.264145,14.90316091954023,14.788505747126436,34.13649425287356,1019.146120689655,65.76005747126437,17.0,2024,05
utenos-ams,25.589692,55.515321,14.423850574712644,14.344109195402298,37.86494252873563,1019.348275862069,67.54310344827586,26.5,2024,05
varenos-ams,24.55176,54.248271,14.705172413793102,14.653448275862068,38.08840579710145,1018.7406609195402,65.41091954022988,31.9,2024,05
vilniaus-ams,25.107064,54.625992,15.203746397694523,15.105187319884726,42.26657060518732,1018.9894812680114,60.97406340057637,36.2,2024,05
birzu-ams,24.774184,56.193191,17.57638888888889,17.542361111111113,42.79108635097493,1012.6259722222221,75.13055555555556,46.0,2024,06
dotnuvos-ams,23.866224,55.395993,17.935972222222222,17.88152777777778,38.25694444444444,1012.8776388888889,68.92222222222222,34.7,2024,06
duksto-ams,26.31614,55.517856,17.655555555555555,17.645138888888887,42.202777777777776,1012.4590277777778,77.46805555555555,59.6,2024,06
kauno-ams,23.83588,54.88396,17.83736111111111,17.796111111111113,43.751743375174335,1013.0840277777778,71.39166666666667,36.8,2024,06
klaipedos-ams,21.09157,55.73135,17.439305555555556,17.429444444444446,49.62361111111111,1012.7215277777777,72.86527777777778,54.0,2024,06
kybartu-ams,22.783011,54.633167,18.095972222222223,18.05527777777778,40.24546722454672,1013.1031944444445,69.20138888888889,54.3,2024,06
laukuvos-ams,22.239463,55.60886,16.69847222222222,16.68486111111111,45.190677966101696,1012.8477777777778,73.91388888888889,49.5,2024,06
lazdiju-ams,23.51068,54.23221,18.09777777777778,18.034861111111113,42.77361111111111,1013.2900000000001,68.14722222222223,40.9,2024,06
