"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2014","Miškingumas","Panevėžio m. sav.","proc.","2.1"
"2015","Miškingumas","Panevėžio m. sav.","proc.","2.1"
"2016","Miškingumas","Panevėžio m. sav.","proc.","2.1"
"2017","Miškingumas","Panevėžio m. sav.","proc.","1.6"
"2018","Miškingumas","Panevėžio m. sav.","proc.","1.6"
"2019","Miškingumas","Panevėžio m. sav.","proc.","1.6"
"2020","Miškingumas","Panevėžio m. sav.","proc.","1.6"
"2021","Miškingumas","Panevėžio m. sav.","proc.","1.6"
"2022","Miškingumas","Panevėžio m. sav.","proc.","1.5"
"2023","Miškingumas","Panevėžio m. sav.","proc.","1.5"
"2024","Miškingumas","Panevėžio m. sav.","proc.","1.5"
"2004","Miškingumas","Panevėžio r. sav.","proc.","33.9"
"2005","Miškingumas","Panevėžio r. sav.","proc.","34.1"
"2006","Miškingumas","Panevėžio r. sav.","proc.","34.1"
"2007","Miškingumas","Panevėžio r. sav.","proc.","35.1"
"2008","Miškingumas","Panevėžio r. sav.","proc.","34.8"
"2009","Miškingumas","Panevėžio r. sav.","proc.","34.8"
"2010","Miškingumas","Panevėžio r. sav.","proc.","34.8"
"2011","Miškingumas","Panevėžio r. sav.","proc.","34.8"
"2012","Miškingumas","Panevėžio r. sav.","proc.","34.8"
"2013","Miškingumas","Panevėžio r. sav.","proc.","34.8"
"2014","Miškingumas","Panevėžio r. sav.","proc.","34.9"
"2015","Miškingumas","Panevėžio r. sav.","proc.","34.9"
"2016","Miškingumas","Panevėžio r. sav.","proc.","34.9"
"2017","Miškingumas","Panevėžio r. sav.","proc.","35.3"
"2018","Miškingumas","Panevėžio r. sav.","proc.","35.4"
"2019","Miškingumas","Panevėžio r. sav.","proc.","35.4"
"2020","Miškingumas","Panevėžio r. sav.","proc.","35.4"
"2021","Miškingumas","Panevėžio r. sav.","proc.","35.3"
"2022","Miškingumas","Panevėžio r. sav.","proc.","35.3"
"2023","Miškingumas","Panevėžio r. sav.","proc.","35.4"
"2024","Miškingumas","Panevėžio r. sav.","proc.","35.4"
"2004","Miškingumas","Pasvalio r. sav.","proc.","16.5"
"2005","Miškingumas","Pasvalio r. sav.","proc.","16.6"
"2006","Miškingumas","Pasvalio r. sav.","proc.","16.6"
"2007","Miškingumas","Pasvalio r. sav.","proc.","17.1"
"2008","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2009","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2010","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2011","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2012","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2013","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2014","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2015","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2016","Miškingumas","Pasvalio r. sav.","proc.","17.0"
"2017","Miškingumas","Pasvalio r. sav.","proc.","16.8"
"2018","Miškingumas","Pasvalio r. sav.","proc.","17.2"
"2019","Miškingumas","Pasvalio r. sav.","proc.","17.2"
"2020","Miškingumas","Pasvalio r. sav.","proc.","17.2"
"2021","Miškingumas","Pasvalio r. sav.","proc.","17.2"
"2022","Miškingumas","Pasvalio r. sav.","proc.","17.2"
"2023","Miškingumas","Pasvalio r. sav.","proc.","17.2"
"2024","Miškingumas","Pasvalio r. sav.","proc.","17.2"
"2004","Miškingumas","Rokiškio r. sav.","proc.","27.9"
"2005","Miškingumas","Rokiškio r. sav.","proc.","28.0"
"2006","Miškingumas","Rokiškio r. sav.","proc.","28.0"
"2007","Miškingumas","Rokiškio r. sav.","proc.","28.0"
"2008","Miškingumas","Rokiškio r. sav.","proc.","29.0"
"2009","Miškingumas","Rokiškio r. sav.","proc.","29.0"
"2010","Miškingumas","Rokiškio r. sav.","proc.","29.0"
"2011","Miškingumas","Rokiškio r. sav.","proc.","29.0"
"2012","Miškingumas","Rokiškio r. sav.","proc.","29.0"
"2013","Miškingumas","Rokiškio r. sav.","proc.","29.1"
"2014","Miškingumas","Rokiškio r. sav.","proc.","29.2"
"2015","Miškingumas","Rokiškio r. sav.","proc.","29.3"
"2016","Miškingumas","Rokiškio r. sav.","proc.","29.3"
"2017","Miškingumas","Rokiškio r. sav.","proc.","29.6"
"2018","Miškingumas","Rokiškio r. sav.","proc.","29.8"
"2019","Miškingumas","Rokiškio r. sav.","proc.","29.8"
"2020","Miškingumas","Rokiškio r. sav.","proc.","29.9"
"2021","Miškingumas","Rokiškio r. sav.","proc.","29.9"
"2022","Miškingumas","Rokiškio r. sav.","proc.","30.0"
"2023","Miškingumas","Rokiškio r. sav.","proc.","30.1"
"2024","Miškingumas","Rokiškio r. sav.","proc.","30.2"
"2004","Miškingumas","Šiaulių apskritis","proc.","25.8"
"2005","Miškingumas","Šiaulių apskritis","proc.","25.9"
"2006","Miškingumas","Šiaulių apskritis","proc.","27.3"
"2007","Miškingumas","Šiaulių apskritis","proc.","27.3"
"2008","Miškingumas","Šiaulių apskritis","proc.","27.3"
"2009","Miškingumas","Šiaulių apskritis","proc.","27.3"
"2010","Miškingumas","Šiaulių apskritis","proc.","27.5"
"2011","Miškingumas","Šiaulių apskritis","proc.","27.5"
"2012","Miškingumas","Šiaulių apskritis","proc.","27.5"
"2013","Miškingumas","Šiaulių apskritis","proc.","27.6"
"2014","Miškingumas","Šiaulių apskritis","proc.","27.6"
"2015","Miškingumas","Šiaulių apskritis","proc.","27.7"
"2016","Miškingumas","Šiaulių apskritis","proc.","28.0"
"2017","Miškingumas","Šiaulių apskritis","proc.","28.1"
"2018","Miškingumas","Šiaulių apskritis","proc.","28.1"
"2019","Miškingumas","Šiaulių apskritis","proc.","28.1"
"2020","Miškingumas","Šiaulių apskritis","proc.","28.1"
"2021","Miškingumas","Šiaulių apskritis","proc.","28.1"
"2022","Miškingumas","Šiaulių apskritis","proc.","28.0"
"2023","Miškingumas","Šiaulių apskritis","proc.","28.1"
"2024","Miškingumas","Šiaulių apskritis","proc.","28.2"
"2004","Miškingumas","Akmenės r. sav.","proc.","32.1"
"2005","Miškingumas","Akmenės r. sav.","proc.","32.3"
"2006","Miškingumas","Akmenės r. sav.","proc.","32.5"
"2007","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2008","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2009","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2010","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2011","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2012","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2013","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2014","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2015","Miškingumas","Akmenės r. sav.","proc.","32.4"
"2016","Miškingumas","Akmenės r. sav.","proc.","32.7"
"2017","Miškingumas","Akmenės r. sav.","proc.","32.9"
"2018","Miškingumas","Akmenės r. sav.","proc.","32.7"
"2019","Miškingumas","Akmenės r. sav.","proc.","32.7"
"2020","Miškingumas","Akmenės r. sav.","proc.","32.8"
"2021","Miškingumas","Akmenės r. sav.","proc.","32.6"
"2022","Miškingumas","Akmenės r. sav.","proc.","32.6"
"2023","Miškingumas","Akmenės r. sav.","proc.","32.7"
"2024","Miškingumas","Akmenės r. sav.","proc.","32.7"
"2004","Miškingumas","Joniškio r. sav.","proc.","18.4"
"2005","Miškingumas","Joniškio r. sav.","proc.","18.5"
"2006","Miškingumas","Joniškio r. sav.","proc.","20.2"
"2007","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2008","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2009","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2010","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2011","Miškingumas","Joniškio r. sav.","proc.","20.1"
"2012","Miškingumas","Joniškio r. sav.","proc.","20.2"
"2013","Miškingumas","Joniškio r. sav.","proc.","20.2"
"2014","Miškingumas","Joniškio r. sav.","proc.","20.2"
"2015","Miškingumas","Joniškio r. sav.","proc.","20.2"
"2016","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2017","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2018","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2019","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2020","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2021","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2022","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2023","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2024","Miškingumas","Joniškio r. sav.","proc.","20.0"
"2004","Miškingumas","Kelmės r. sav.","proc.","26.2"
"2005","Miškingumas","Kelmės r. sav.","proc.","26.2"
"2006","Miškingumas","Kelmės r. sav.","proc.","30.2"
"2007","Miškingumas","Kelmės r. sav.","proc.","30.2"
"2008","Miškingumas","Kelmės r. sav.","proc.","30.2"
"2009","Miškingumas","Kelmės r. sav.","proc.","30.2"
"2010","Miškingumas","Kelmės r. sav.","proc.","31.1"
"2011","Miškingumas","Kelmės r. sav.","proc.","31.1"
"2012","Miškingumas","Kelmės r. sav.","proc.","31.1"
"2013","Miškingumas","Kelmės r. sav.","proc.","31.3"
"2014","Miškingumas","Kelmės r. sav.","proc.","31.4"
"2015","Miškingumas","Kelmės r. sav.","proc.","31.8"
"2016","Miškingumas","Kelmės r. sav.","proc.","32.7"
"2017","Miškingumas","Kelmės r. sav.","proc.","32.6"
"2018","Miškingumas","Kelmės r. sav.","proc.","32.7"
"2019","Miškingumas","Kelmės r. sav.","proc.","32.7"
"2020","Miškingumas","Kelmės r. sav.","proc.","32.7"
"2021","Miškingumas","Kelmės r. sav.","proc.","32.7"
"2022","Miškingumas","Kelmės r. sav.","proc.","32.7"
"2023","Miškingumas","Kelmės r. sav.","proc.","32.8"
"2024","Miškingumas","Kelmės r. sav.","proc.","32.8"
"2004","Miškingumas","Pakruojo r. sav.","proc.","19.4"
"2005","Miškingumas","Pakruojo r. sav.","proc.","19.6"
"2006","Miškingumas","Pakruojo r. sav.","proc.","19.5"
"2007","Miškingumas","Pakruojo r. sav.","proc.","20.4"
"2008","Miškingumas","Pakruojo r. sav.","proc.","19.9"
"2009","Miškingumas","Pakruojo r. sav.","proc.","19.9"
"2010","Miškingumas","Pakruojo r. sav.","proc.","19.9"
"2011","Miškingumas","Pakruojo r. sav.","proc.","19.9"
"2012","Miškingumas","Pakruojo r. sav.","proc.","19.9"
"2013","Miškingumas","Pakruojo r. sav.","proc.","19.9"
"2014","Miškingumas","Pakruojo r. sav.","proc.","19.8"
"2015","Miškingumas","Pakruojo r. sav.","proc.","19.8"
"2016","Miškingumas","Pakruojo r. sav.","proc.","19.8"
"2017","Miškingumas","Pakruojo r. sav.","proc.","20.0"
"2018","Miškingumas","Pakruojo r. sav.","proc.","20.1"
"2019","Miškingumas","Pakruojo r. sav.","proc.","20.1"
"2020","Miškingumas","Pakruojo r. sav.","proc.","20.1"
"2021","Miškingumas","Pakruojo r. sav.","proc.","20.1"
"2022","Miškingumas","Pakruojo r. sav.","proc.","20.0"
"2023","Miškingumas","Pakruojo r. sav.","proc.","20.1"
"2024","Miškingumas","Pakruojo r. sav.","proc.","20.1"
"2004","Miškingumas","Radviliškio r. sav.","proc.","25.7"
"2005","Miškingumas","Radviliškio r. sav.","proc.","25.7"
"2006","Miškingumas","Radviliškio r. sav.","proc.","25.3"
"2007","Miškingumas","Radviliškio r. sav.","proc.","25.3"
"2008","Miškingumas","Radviliškio r. sav.","proc.","25.4"
"2009","Miškingumas","Radviliškio r. sav.","proc.","25.4"
"2010","Miškingumas","Radviliškio r. sav.","proc.","25.4"
"2011","Miškingumas","Radviliškio r. sav.","proc.","25.4"
"2012","Miškingumas","Radviliškio r. sav.","proc.","25.6"
"2013","Miškingumas","Radviliškio r. sav.","proc.","25.7"
"2014","Miškingumas","Radviliškio r. sav.","proc.","25.7"
"2015","Miškingumas","Radviliškio r. sav.","proc.","25.9"
"2016","Miškingumas","Radviliškio r. sav.","proc.","25.9"
"2017","Miškingumas","Radviliškio r. sav.","proc.","26.0"
"2018","Miškingumas","Radviliškio r. sav.","proc.","26.0"
"2019","Miškingumas","Radviliškio r. sav.","proc.","26.0"
"2020","Miškingumas","Radviliškio r. sav.","proc.","26.0"
"2021","Miškingumas","Radviliškio r. sav.","proc.","26.0"
"2022","Miškingumas","Radviliškio r. sav.","proc.","26.0"
"2023","Miškingumas","Radviliškio r. sav.","proc.","26.0"
"2024","Miškingumas","Radviliškio r. sav.","proc.","26.5"
"2004","Miškingumas","Šiaulių m. sav.","proc.","15.0"
"2005","Miškingumas","Šiaulių m. sav.","proc.","15.0"
"2006","Miškingumas","Šiaulių m. sav.","proc.","8.6"
"2007","Miškingumas","Šiaulių m. sav.","proc.","8.6"
"2008","Miškingumas","Šiaulių m. sav.","proc.","8.3"
"2009","Miškingumas","Šiaulių m. sav.","proc.","5.6"
"2010","Miškingumas","Šiaulių m. sav.","proc.","5.6"
"2011","Miškingumas","Šiaulių m. sav.","proc.","5.6"
"2012","Miškingumas","Šiaulių m. sav.","proc.","5.6"
"2013","Miškingumas","Šiaulių m. sav.","proc.","5.6"
"2014","Miškingumas","Šiaulių m. sav.","proc.","5.6"
"2015","Miškingumas","Šiaulių m. sav.","proc.","5.6"
"2016","Miškingumas","Šiaulių m. sav.","proc.","6.0"
"2017","Miškingumas","Šiaulių m. sav.","proc.","6.0"
"2018","Miškingumas","Šiaulių m. sav.","proc.","6.0"
"2019","Miškingumas","Šiaulių m. sav.","proc.","6.0"
"2020","Miškingumas","Šiaulių m. sav.","proc.","6.0"
"2021","Miškingumas","Šiaulių m. sav.","proc.","6.0"
"2022","Miškingumas","Šiaulių m. sav.","proc.","6.0"
"2023","Miškingumas","Šiaulių m. sav.","proc.","6.1"
"2024","Miškingumas","Šiaulių m. sav.","proc.","6.0"
"2004","Miškingumas","Šiaulių r. sav.","proc.","32.6"
"2005","Miškingumas","Šiaulių r. sav.","proc.","32.7"
"2006","Miškingumas","Šiaulių r. sav.","proc.","34.7"
"2007","Miškingumas","Šiaulių r. sav.","proc.","34.7"
"2008","Miškingumas","Šiaulių r. sav.","proc.","34.7"
"2009","Miškingumas","Šiaulių r. sav.","proc.","34.7"
"2010","Miškingumas","Šiaulių r. sav.","proc.","34.8"
"2011","Miškingumas","Šiaulių r. sav.","proc.","34.8"
"2012","Miškingumas","Šiaulių r. sav.","proc.","34.8"
"2013","Miškingumas","Šiaulių r. sav.","proc.","34.9"
"2014","Miškingumas","Šiaulių r. sav.","proc.","34.9"
"2015","Miškingumas","Šiaulių r. sav.","proc.","34.9"
"2016","Miškingumas","Šiaulių r. sav.","proc.","35.4"
"2017","Miškingumas","Šiaulių r. sav.","proc.","35.3"
"2018","Miškingumas","Šiaulių r. sav.","proc.","35.3"
"2019","Miškingumas","Šiaulių r. sav.","proc.","35.3"
"2020","Miškingumas","Šiaulių r. sav.","proc.","35.3"
"2021","Miškingumas","Šiaulių r. sav.","proc.","35.3"
"2022","Miškingumas","Šiaulių r. sav.","proc.","35.3"
"2023","Miškingumas","Šiaulių r. sav.","proc.","35.4"
"2024","Miškingumas","Šiaulių r. sav.","proc.","35.4"
"2004","Miškingumas","Tauragės apskritis","proc.","31.7"
"2005","Miškingumas","Tauragės apskritis","proc.","33.0"
"2006","Miškingumas","Tauragės apskritis","proc.","33.0"
"2007","Miškingumas","Tauragės apskritis","proc.","33.0"
"2008","Miškingumas","Tauragės apskritis","proc.","33.0"
"2009","Miškingumas","Tauragės apskritis","proc.","33.0"
"2010","Miškingumas","Tauragės apskritis","proc.","33.0"
"2011","Miškingumas","Tauragės apskritis","proc.","33.0"
"2012","Miškingumas","Tauragės apskritis","proc.","33.0"
"2013","Miškingumas","Tauragės apskritis","proc.","33.0"
"2014","Miškingumas","Tauragės apskritis","proc.","33.1"
"2015","Miškingumas","Tauragės apskritis","proc.","33.2"
"2016","Miškingumas","Tauragės apskritis","proc.","33.2"
"2017","Miškingumas","Tauragės apskritis","proc.","33.2"
"2018","Miškingumas","Tauragės apskritis","proc.","33.2"
"2019","Miškingumas","Tauragės apskritis","proc.","33.2"
"2020","Miškingumas","Tauragės apskritis","proc.","33.2"
"2021","Miškingumas","Tauragės apskritis","proc.","33.2"
"2022","Miškingumas","Tauragės apskritis","proc.","33.2"
"2023","Miškingumas","Tauragės apskritis","proc.","33.2"
"2024","Miškingumas","Tauragės apskritis","proc.","33.3"
"2004","Miškingumas","Jurbarko r. sav.","proc.","38.0"
"2005","Miškingumas","Jurbarko r. sav.","proc.","38.2"
"2006","Miškingumas","Jurbarko r. sav.","proc.","38.2"
"2007","Miškingumas","Jurbarko r. sav.","proc.","38.2"
"2008","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2009","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2010","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2011","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2012","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2013","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2014","Miškingumas","Jurbarko r. sav.","proc.","38.0"
"2015","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2016","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2017","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2018","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2019","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2020","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2021","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2022","Miškingumas","Jurbarko r. sav.","proc.","38.1"
"2023","Miškingumas","Jurbarko r. sav.","proc.","38.2"
"2024","Miškingumas","Jurbarko r. sav.","proc.","38.3"
"2004","Miškingumas","Pagėgių sav.","proc.","16.5"
"2005","Miškingumas","Pagėgių sav.","proc.","16.7"
"2006","Miškingumas","Pagėgių sav.","proc.","16.7"
"2007","Miškingumas","Pagėgių sav.","proc.","16.7"
"2008","Miškingumas","Pagėgių sav.","proc.","16.7"
"2009","Miškingumas","Pagėgių sav.","proc.","16.7"
"2010","Miškingumas","Pagėgių sav.","proc.","17.0"
"2011","Miškingumas","Pagėgių sav.","proc.","17.0"
"2012","Miškingumas","Pagėgių sav.","proc.","17.0"
"2013","Miškingumas","Pagėgių sav.","proc.","17.0"
"2014","Miškingumas","Pagėgių sav.","proc.","17.4"
"2015","Miškingumas","Pagėgių sav.","proc.","17.4"
"2016","Miškingumas","Pagėgių sav.","proc.","17.4"
"2017","Miškingumas","Pagėgių sav.","proc.","17.4"
"2018","Miškingumas","Pagėgių sav.","proc.","17.5"
"2019","Miškingumas","Pagėgių sav.","proc.","17.4"
"2020","Miškingumas","Pagėgių sav.","proc.","17.5"
"2021","Miškingumas","Pagėgių sav.","proc.","17.5"
"2022","Miškingumas","Pagėgių sav.","proc.","17.5"
"2023","Miškingumas","Pagėgių sav.","proc.","17.6"
"2024","Miškingumas","Pagėgių sav.","proc.","17.6"
"2004","Miškingumas","Šilalės r. sav.","proc.","24.0"
"2005","Miškingumas","Šilalės r. sav.","proc.","28.5"
"2006","Miškingumas","Šilalės r. sav.","proc.","28.4"
"2007","Miškingumas","Šilalės r. sav.","proc.","28.4"
"2008","Miškingumas","Šilalės r. sav.","proc.","28.4"
"2009","Miškingumas","Šilalės r. sav.","proc.","28.4"
"2010","Miškingumas","Šilalės r. sav.","proc.","28.4"
"2011","Miškingumas","Šilalės r. sav.","proc.","28.4"
"2012","Miškingumas","Šilalės r. sav.","proc.","28.4"
"2013","Miškingumas","Šilalės r. sav.","proc.","28.4"
"2014","Miškingumas","Šilalės r. sav.","proc.","28.5"
"2015","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2016","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2017","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2018","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2019","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2020","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2021","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2022","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2023","Miškingumas","Šilalės r. sav.","proc.","28.7"
"2024","Miškingumas","Šilalės r. sav.","proc.","28.9"
"2004","Miškingumas","Tauragės r. sav.","proc.","38.5"
"2005","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2006","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2007","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2008","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2009","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2010","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2011","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2012","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2013","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2014","Miškingumas","Tauragės r. sav.","proc.","38.7"
"2015","Miškingumas","Tauragės r. sav.","proc.","38.7"
"2016","Miškingumas","Tauragės r. sav.","proc.","38.7"
"2017","Miškingumas","Tauragės r. sav.","proc.","38.7"
"2018","Miškingumas","Tauragės r. sav.","proc.","38.7"
"2019","Miškingumas","Tauragės r. sav.","proc.","38.7"
"2020","Miškingumas","Tauragės r. sav.","proc.","38.6"
"2021","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2022","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2023","Miškingumas","Tauragės r. sav.","proc.","38.4"
"2024","Miškingumas","Tauragės r. sav.","proc.","38.6"
"2004","Miškingumas","Telšių apskritis","proc.","32.9"
"2005","Miškingumas","Telšių apskritis","proc.","35.6"
"2006","Miškingumas","Telšių apskritis","proc.","36.1"
"2007","Miškingumas","Telšių apskritis","proc.","36.1"
"2008","Miškingumas","Telšių apskritis","proc.","36.1"
"2009","Miškingumas","Telšių apskritis","proc.","36.1"
"2010","Miškingumas","Telšių apskritis","proc.","36.1"
"2011","Miškingumas","Telšių apskritis","proc.","36.1"
"2012","Miškingumas","Telšių apskritis","proc.","36.1"
"2013","Miškingumas","Telšių apskritis","proc.","36.3"
"2014","Miškingumas","Telšių apskritis","proc.","36.3"
"2015","Miškingumas","Telšių apskritis","proc.","36.6"
"2016","Miškingumas","Telšių apskritis","proc.","36.6"
"2017","Miškingumas","Telšių apskritis","proc.","36.6"
"2018","Miškingumas","Telšių apskritis","proc.","36.7"
"2019","Miškingumas","Telšių apskritis","proc.","36.7"
"2020","Miškingumas","Telšių apskritis","proc.","36.7"
"2021","Miškingumas","Telšių apskritis","proc.","36.7"
"2022","Miškingumas","Telšių apskritis","proc.","36.6"
"2023","Miškingumas","Telšių apskritis","proc.","36.7"
"2024","Miškingumas","Telšių apskritis","proc.","36.8"
"2004","Miškingumas","Mažeikių r. sav.","proc.","29.3"
"2005","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2006","Miškingumas","Mažeikių r. sav.","proc.","29.4"
"2007","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2008","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2009","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2010","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2011","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2012","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2013","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2014","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2015","Miškingumas","Mažeikių r. sav.","proc.","29.5"
"2016","Miškingumas","Mažeikių r. sav.","proc.","29.6"
"2017","Miškingumas","Mažeikių r. sav.","proc.","29.7"
"2018","Miškingumas","Mažeikių r. sav.","proc.","29.7"
"2019","Miškingumas","Mažeikių r. sav.","proc.","29.7"
"2020","Miškingumas","Mažeikių r. sav.","proc.","29.7"
"2021","Miškingumas","Mažeikių r. sav.","proc.","29.7"
"2022","Miškingumas","Mažeikių r. sav.","proc.","29.7"
"2023","Miškingumas","Mažeikių r. sav.","proc.","29.7"
"2024","Miškingumas","Mažeikių r. sav.","proc.","29.8"
"2004","Miškingumas","Plungės r. sav.","proc.","32.7"
"2005","Miškingumas","Plungės r. sav.","proc.","34.5"
"2006","Miškingumas","Plungės r. sav.","proc.","35.9"
"2007","Miškingumas","Plungės r. sav.","proc.","35.9"
"2008","Miškingumas","Plungės r. sav.","proc.","35.9"
"2009","Miškingumas","Plungės r. sav.","proc.","36.0"
"2010","Miškingumas","Plungės r. sav.","proc.","36.0"
"2011","Miškingumas","Plungės r. sav.","proc.","36.0"
"2012","Miškingumas","Plungės r. sav.","proc.","36.0"
"2013","Miškingumas","Plungės r. sav.","proc.","36.0"
"2014","Miškingumas","Plungės r. sav.","proc.","36.1"
"2015","Miškingumas","Plungės r. sav.","proc.","36.5"
"2016","Miškingumas","Plungės r. sav.","proc.","36.3"
"2017","Miškingumas","Plungės r. sav.","proc.","36.4"
"2018","Miškingumas","Plungės r. sav.","proc.","36.4"
"2019","Miškingumas","Plungės r. sav.","proc.","36.4"
"2020","Miškingumas","Plungės r. sav.","proc.","36.6"
"2021","Miškingumas","Plungės r. sav.","proc.","36.4"
"2022","Miškingumas","Plungės r. sav.","proc.","36.4"
"2023","Miškingumas","Plungės r. sav.","proc.","36.5"
"2024","Miškingumas","Plungės r. sav.","proc.","36.5"
"2004","Miškingumas","Rietavo sav.","proc.","48.7"
"2005","Miškingumas","Rietavo sav.","proc.","53.2"
"2006","Miškingumas","Rietavo sav.","proc.","53.3"
"2007","Miškingumas","Rietavo sav.","proc.","53.3"
"2008","Miškingumas","Rietavo sav.","proc.","53.3"
"2009","Miškingumas","Rietavo sav.","proc.","53.4"
"2010","Miškingumas","Rietavo sav.","proc.","53.4"
"2011","Miškingumas","Rietavo sav.","proc.","53.4"
"2012","Miškingumas","Rietavo sav.","proc.","53.4"
"2013","Miškingumas","Rietavo sav.","proc.","53.4"
"2014","Miškingumas","Rietavo sav.","proc.","53.4"
"2015","Miškingumas","Rietavo sav.","proc.","54.1"
"2016","Miškingumas","Rietavo sav.","proc.","54.2"
"2017","Miškingumas","Rietavo sav.","proc.","54.2"
"2018","Miškingumas","Rietavo sav.","proc.","54.2"
"2019","Miškingumas","Rietavo sav.","proc.","54.2"
"2020","Miškingumas","Rietavo sav.","proc.","54.2"
"2021","Miškingumas","Rietavo sav.","proc.","54.2"
"2022","Miškingumas","Rietavo sav.","proc.","54.3"
"2023","Miškingumas","Rietavo sav.","proc.","54.3"
"2024","Miškingumas","Rietavo sav.","proc.","54.5"
"2004","Miškingumas","Telšių r. sav.","proc.","29.7"
"2005","Miškingumas","Telšių r. sav.","proc.","34.4"
"2006","Miškingumas","Telšių r. sav.","proc.","34.7"
"2007","Miškingumas","Telšių r. sav.","proc.","34.7"
"2008","Miškingumas","Telšių r. sav.","proc.","34.7"
"2009","Miškingumas","Telšių r. sav.","proc.","34.7"
"2010","Miškingumas","Telšių r. sav.","proc.","34.7"
"2011","Miškingumas","Telšių r. sav.","proc.","34.7"
"2012","Miškingumas","Telšių r. sav.","proc.","34.8"
"2013","Miškingumas","Telšių r. sav.","proc.","35.2"
"2014","Miškingumas","Telšių r. sav.","proc.","35.2"
"2015","Miškingumas","Telšių r. sav.","proc.","35.6"
"2016","Miškingumas","Telšių r. sav.","proc.","35.6"
"2017","Miškingumas","Telšių r. sav.","proc.","35.6"
"2018","Miškingumas","Telšių r. sav.","proc.","35.6"
"2019","Miškingumas","Telšių r. sav.","proc.","35.6"
"2020","Miškingumas","Telšių r. sav.","proc.","35.6"
"2021","Miškingumas","Telšių r. sav.","proc.","35.6"
