"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2008","Miškingumas","Vilniaus m. sav.","proc.","35.6"
"2009","Miškingumas","Vilniaus m. sav.","proc.","34.8"
"2010","Miškingumas","Vilniaus m. sav.","proc.","34.7"
"2011","Miškingumas","Vilniaus m. sav.","proc.","34.5"
"2012","Miškingumas","Vilniaus m. sav.","proc.","34.5"
"2013","Miškingumas","Vilniaus m. sav.","proc.","34.6"
"2014","Miškingumas","Vilniaus m. sav.","proc.","34.6"
"2015","Miškingumas","Vilniaus m. sav.","proc.","34.6"
"2016","Miškingumas","Vilniaus m. sav.","proc.","34.7"
"2017","Miškingumas","Vilniaus m. sav.","proc.","34.6"
"2018","Miškingumas","Vilniaus m. sav.","proc.","34.6"
"2019","Miškingumas","Vilniaus m. sav.","proc.","34.6"
"2020","Miškingumas","Vilniaus m. sav.","proc.","34.1"
"2021","Miškingumas","Vilniaus m. sav.","proc.","33.6"
"2022","Miškingumas","Vilniaus m. sav.","proc.","34.2"
"2023","Miškingumas","Vilniaus m. sav.","proc.","34.2"
"2024","Miškingumas","Vilniaus m. sav.","proc.","34.2"
"2004","Miškingumas","Vilniaus r. sav.","proc.","39.5"
"2005","Miškingumas","Vilniaus r. sav.","proc.","39.6"
"2006","Miškingumas","Vilniaus r. sav.","proc.","39.6"
"2007","Miškingumas","Vilniaus r. sav.","proc.","39.6"
"2008","Miškingumas","Vilniaus r. sav.","proc.","39.7"
"2009","Miškingumas","Vilniaus r. sav.","proc.","39.7"
"2010","Miškingumas","Vilniaus r. sav.","proc.","40.3"
"2011","Miškingumas","Vilniaus r. sav.","proc.","41.6"
"2012","Miškingumas","Vilniaus r. sav.","proc.","41.6"
"2013","Miškingumas","Vilniaus r. sav.","proc.","41.6"
"2014","Miškingumas","Vilniaus r. sav.","proc.","41.6"
"2015","Miškingumas","Vilniaus r. sav.","proc.","41.7"
"2016","Miškingumas","Vilniaus r. sav.","proc.","41.7"
"2017","Miškingumas","Vilniaus r. sav.","proc.","41.7"
"2018","Miškingumas","Vilniaus r. sav.","proc.","41.7"
"2019","Miškingumas","Vilniaus r. sav.","proc.","41.7"
"2020","Miškingumas","Vilniaus r. sav.","proc.","42.4"
"2021","Miškingumas","Vilniaus r. sav.","proc.","42.0"
"2022","Miškingumas","Vilniaus r. sav.","proc.","42.0"
"2023","Miškingumas","Vilniaus r. sav.","proc.","42.0"
"2024","Miškingumas","Vilniaus r. sav.","proc.","40.6"
"2004","Miškingumas","Alytaus apskritis","proc.","49.0"
"2005","Miškingumas","Alytaus apskritis","proc.","49.1"
"2006","Miškingumas","Alytaus apskritis","proc.","49.1"
"2007","Miškingumas","Alytaus apskritis","proc.","49.1"
"2008","Miškingumas","Alytaus apskritis","proc.","49.1"
"2009","Miškingumas","Alytaus apskritis","proc.","49.1"
"2010","Miškingumas","Alytaus apskritis","proc.","49.1"
"2011","Miškingumas","Alytaus apskritis","proc.","49.1"
"2012","Miškingumas","Alytaus apskritis","proc.","49.0"
"2013","Miškingumas","Alytaus apskritis","proc.","49.0"
"2014","Miškingumas","Alytaus apskritis","proc.","49.1"
"2015","Miškingumas","Alytaus apskritis","proc.","49.3"
"2016","Miškingumas","Alytaus apskritis","proc.","49.3"
"2017","Miškingumas","Alytaus apskritis","proc.","49.4"
"2018","Miškingumas","Alytaus apskritis","proc.","49.5"
"2019","Miškingumas","Alytaus apskritis","proc.","49.5"
"2020","Miškingumas","Alytaus apskritis","proc.","49.5"
"2021","Miškingumas","Alytaus apskritis","proc.","49.5"
"2022","Miškingumas","Alytaus apskritis","proc.","49.3"
"2023","Miškingumas","Alytaus apskritis","proc.","49.3"
"2024","Miškingumas","Alytaus apskritis","proc.","49.9"
"2004","Miškingumas","Alytaus m. sav.","proc.","30.4"
"2005","Miškingumas","Alytaus m. sav.","proc.","31.8"
"2006","Miškingumas","Alytaus m. sav.","proc.","31.8"
"2007","Miškingumas","Alytaus m. sav.","proc.","31.8"
"2008","Miškingumas","Alytaus m. sav.","proc.","31.8"
"2009","Miškingumas","Alytaus m. sav.","proc.","31.8"
"2010","Miškingumas","Alytaus m. sav.","proc.","31.8"
"2011","Miškingumas","Alytaus m. sav.","proc.","31.8"
"2012","Miškingumas","Alytaus m. sav.","proc.","32.0"
"2013","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2014","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2015","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2016","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2017","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2018","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2019","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2020","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2021","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2022","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2023","Miškingumas","Alytaus m. sav.","proc.","32.5"
"2024","Miškingumas","Alytaus m. sav.","proc.","32.3"
"2004","Miškingumas","Alytaus r. sav.","proc.","24.6"
"2005","Miškingumas","Alytaus r. sav.","proc.","24.7"
"2006","Miškingumas","Alytaus r. sav.","proc.","24.7"
"2007","Miškingumas","Alytaus r. sav.","proc.","24.7"
"2008","Miškingumas","Alytaus r. sav.","proc.","24.7"
"2009","Miškingumas","Alytaus r. sav.","proc.","24.7"
"2010","Miškingumas","Alytaus r. sav.","proc.","24.7"
"2011","Miškingumas","Alytaus r. sav.","proc.","24.5"
"2012","Miškingumas","Alytaus r. sav.","proc.","24.9"
"2013","Miškingumas","Alytaus r. sav.","proc.","25.0"
"2014","Miškingumas","Alytaus r. sav.","proc.","25.0"
"2015","Miškingumas","Alytaus r. sav.","proc.","25.1"
"2016","Miškingumas","Alytaus r. sav.","proc.","25.0"
"2017","Miškingumas","Alytaus r. sav.","proc.","25.1"
"2018","Miškingumas","Alytaus r. sav.","proc.","25.1"
"2019","Miškingumas","Alytaus r. sav.","proc.","25.1"
"2020","Miškingumas","Alytaus r. sav.","proc.","25.1"
"2021","Miškingumas","Alytaus r. sav.","proc.","25.1"
"2022","Miškingumas","Alytaus r. sav.","proc.","25.2"
"2023","Miškingumas","Alytaus r. sav.","proc.","25.3"
"2024","Miškingumas","Alytaus r. sav.","proc.","25.3"
"2004","Miškingumas","Druskininkų sav.","proc.","69.2"
"2005","Miškingumas","Druskininkų sav.","proc.","69.2"
"2006","Miškingumas","Druskininkų sav.","proc.","69.2"
"2007","Miškingumas","Druskininkų sav.","proc.","69.2"
"2008","Miškingumas","Druskininkų sav.","proc.","69.2"
"2009","Miškingumas","Druskininkų sav.","proc.","69.2"
"2010","Miškingumas","Druskininkų sav.","proc.","69.2"
"2011","Miškingumas","Druskininkų sav.","proc.","68.7"
"2012","Miškingumas","Druskininkų sav.","proc.","69.1"
"2013","Miškingumas","Druskininkų sav.","proc.","69.0"
"2014","Miškingumas","Druskininkų sav.","proc.","69.1"
"2015","Miškingumas","Druskininkų sav.","proc.","69.1"
"2016","Miškingumas","Druskininkų sav.","proc.","69.1"
"2017","Miškingumas","Druskininkų sav.","proc.","69.1"
"2018","Miškingumas","Druskininkų sav.","proc.","69.4"
"2019","Miškingumas","Druskininkų sav.","proc.","69.4"
"2020","Miškingumas","Druskininkų sav.","proc.","69.3"
"2021","Miškingumas","Druskininkų sav.","proc.","69.3"
"2022","Miškingumas","Druskininkų sav.","proc.","57.9"
"2023","Miškingumas","Druskininkų sav.","proc.","57.9"
"2024","Miškingumas","Druskininkų sav.","proc.","69.7"
"2004","Miškingumas","Lazdijų r. sav.","proc.","34.8"
"2005","Miškingumas","Lazdijų r. sav.","proc.","34.9"
"2006","Miškingumas","Lazdijų r. sav.","proc.","34.9"
"2007","Miškingumas","Lazdijų r. sav.","proc.","34.9"
"2008","Miškingumas","Lazdijų r. sav.","proc.","34.9"
"2009","Miškingumas","Lazdijų r. sav.","proc.","34.9"
"2010","Miškingumas","Lazdijų r. sav.","proc.","34.9"
"2011","Miškingumas","Lazdijų r. sav.","proc.","35.5"
"2012","Miškingumas","Lazdijų r. sav.","proc.","35.0"
"2013","Miškingumas","Lazdijų r. sav.","proc.","35.2"
"2014","Miškingumas","Lazdijų r. sav.","proc.","35.2"
"2015","Miškingumas","Lazdijų r. sav.","proc.","35.9"
"2016","Miškingumas","Lazdijų r. sav.","proc.","35.9"
"2017","Miškingumas","Lazdijų r. sav.","proc.","36.0"
"2018","Miškingumas","Lazdijų r. sav.","proc.","36.0"
"2019","Miškingumas","Lazdijų r. sav.","proc.","36.0"
"2020","Miškingumas","Lazdijų r. sav.","proc.","36.1"
"2021","Miškingumas","Lazdijų r. sav.","proc.","36.2"
"2022","Miškingumas","Lazdijų r. sav.","proc.","36.6"
"2023","Miškingumas","Lazdijų r. sav.","proc.","36.6"
"2024","Miškingumas","Lazdijų r. sav.","proc.","36.9"
"2004","Miškingumas","Varėnos r. sav.","proc.","69.0"
"2005","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2006","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2007","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2008","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2009","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2010","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2011","Miškingumas","Varėnos r. sav.","proc.","68.9"
"2012","Miškingumas","Varėnos r. sav.","proc.","68.7"
"2013","Miškingumas","Varėnos r. sav.","proc.","68.7"
"2014","Miškingumas","Varėnos r. sav.","proc.","68.7"
"2015","Miškingumas","Varėnos r. sav.","proc.","68.8"
"2016","Miškingumas","Varėnos r. sav.","proc.","68.8"
"2017","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2018","Miškingumas","Varėnos r. sav.","proc.","69.0"
"2019","Miškingumas","Varėnos r. sav.","proc.","69.0"
"2020","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2021","Miškingumas","Varėnos r. sav.","proc.","69.1"
"2022","Miškingumas","Varėnos r. sav.","proc.","71.4"
"2023","Miškingumas","Varėnos r. sav.","proc.","71.4"
"2024","Miškingumas","Varėnos r. sav.","proc.","69.5"
"2004","Miškingumas","Kauno apskritis","proc.","29.5"
"2005","Miškingumas","Kauno apskritis","proc.","29.5"
"2006","Miškingumas","Kauno apskritis","proc.","29.6"
"2007","Miškingumas","Kauno apskritis","proc.","29.6"
"2008","Miškingumas","Kauno apskritis","proc.","29.6"
"2009","Miškingumas","Kauno apskritis","proc.","29.6"
"2010","Miškingumas","Kauno apskritis","proc.","29.6"
"2011","Miškingumas","Kauno apskritis","proc.","29.6"
"2012","Miškingumas","Kauno apskritis","proc.","29.7"
"2013","Miškingumas","Kauno apskritis","proc.","29.6"
"2014","Miškingumas","Kauno apskritis","proc.","29.7"
"2015","Miškingumas","Kauno apskritis","proc.","29.7"
"2016","Miškingumas","Kauno apskritis","proc.","29.7"
"2017","Miškingumas","Kauno apskritis","proc.","29.7"
"2018","Miškingumas","Kauno apskritis","proc.","29.7"
"2019","Miškingumas","Kauno apskritis","proc.","29.7"
"2020","Miškingumas","Kauno apskritis","proc.","29.7"
"2021","Miškingumas","Kauno apskritis","proc.","29.8"
"2022","Miškingumas","Kauno apskritis","proc.","29.7"
"2023","Miškingumas","Kauno apskritis","proc.","29.7"
"2024","Miškingumas","Kauno apskritis","proc.","30.1"
"2004","Miškingumas","Birštono sav.","proc.","46.5"
"2005","Miškingumas","Birštono sav.","proc.","46.6"
"2006","Miškingumas","Birštono sav.","proc.","46.5"
"2007","Miškingumas","Birštono sav.","proc.","46.5"
"2008","Miškingumas","Birštono sav.","proc.","46.5"
"2009","Miškingumas","Birštono sav.","proc.","46.5"
"2010","Miškingumas","Birštono sav.","proc.","46.5"
"2011","Miškingumas","Birštono sav.","proc.","46.5"
"2012","Miškingumas","Birštono sav.","proc.","46.5"
"2013","Miškingumas","Birštono sav.","proc.","46.0"
"2014","Miškingumas","Birštono sav.","proc.","47.1"
"2015","Miškingumas","Birštono sav.","proc.","47.1"
"2016","Miškingumas","Birštono sav.","proc.","47.1"
"2017","Miškingumas","Birštono sav.","proc.","47.1"
"2018","Miškingumas","Birštono sav.","proc.","47.1"
"2019","Miškingumas","Birštono sav.","proc.","47.1"
"2020","Miškingumas","Birštono sav.","proc.","47.2"
"2021","Miškingumas","Birštono sav.","proc.","47.1"
