"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","60459"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","59623"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","58938"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","58465"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","57642"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","56606"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","55659"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","55309"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","55077"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54846"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54291"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54606"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54576"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54147"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","37575"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","37004"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","36073"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","35435"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","34784"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","34110"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","33486"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","32590"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","32026"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","31602"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","31186"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","30806"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","30002"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","29241"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","28428"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","27880"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","27415"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","26931"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","26318"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","25973"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","25609"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","25215"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","49137"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","48338"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","47112"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","46239"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","45488"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","44899"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","44128"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","42710"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","41833"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","41234"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","40563"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","39969"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","39107"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","38049"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","36900"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","36187"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","35711"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","35368"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","34942"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","34426"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","33904"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","33575"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","290097"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","284918"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","278262"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","273701"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","268815"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","264319"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","259374"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","251401"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","246298"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","243023"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","240206"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","237487"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","233521"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","228599"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","223753"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","220699"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","218237"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","216233"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","212714"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","211377"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","209093"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","207017"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","34266"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","33551"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","32515"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","31766"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","30959"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","30178"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","29439"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","28322"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","27632"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","27147"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","26676"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","26187"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","25755"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","25110"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","24393"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","23947"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","23660"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","23314"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","22756"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","22426"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","22120"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","21782"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","23865"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","23422"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","22920"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","22509"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","22052"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","21596"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","21064"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","20355"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","19835"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","19472"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","19155"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","18814"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","18413"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","17982"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","17462"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","17156"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16791"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16530"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16232"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16028"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","15766"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","15482"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","114917"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","112543"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","109901"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","108314"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","106495"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","104793"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","103101"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","100027"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","98469"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","97454"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","96640"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","95899"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","94412"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","92531"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","91061"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","90118"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","89453"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","89100"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","87590"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","87395"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","86595"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","85802"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","42588"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","42435"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","41930"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","41573"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","41162"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","40980"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","40377"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","39164"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","38392"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","37968"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","37625"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","37400"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","37018"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","36604"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35966"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35742"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35654"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35426"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35264"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35465"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35382"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35396"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","33629"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","32870"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","31898"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","31230"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","30598"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","30004"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","29400"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","28511"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","27752"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","27312"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","26883"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","26398"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","25786"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","25132"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","24493"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","24017"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","23510"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","23148"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","22668"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","22302"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","21933"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","21691"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","40832"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","40097"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","39098"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","38309"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","37549"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","36768"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","35993"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","35022"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","34218"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","33670"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","33227"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","32789"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","32137"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","31240"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","30378"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","29719"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","29169"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","28715"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","28204"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","27761"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","27297"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","26864"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","357441"
