"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","36328"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","35907"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","35550"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","35361"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","35006"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","34453"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","34230"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","33946"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","33447"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","33058"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","32538"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","32042"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","31759"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","31799"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","31681"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","32042"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","32322"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","33685"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","34589"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","34863"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","46920"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","46154"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","45142"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","44350"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","43643"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","42893"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","42042"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","40270"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","39222"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","38561"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","37898"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","37383"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","36844"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","36044"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","35427"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","35097"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34905"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34553"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34028"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34016"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34018"
