name,year,month,infection
Akmenės r. sav.,2005,6,0
Joniškio r. sav.,2005,6,0
Kelmės r. sav.,2005,6,1
Radviliškio r. sav.,2005,6,0
Šiaulių r. sav.,2005,6,0
Tauragės apskritis,2005,6,4
Jurbarko r. sav.,2005,6,0
Šilalės r. sav.,2005,6,0
Tauragės r. sav.,2005,6,4
Telšių apskritis,2005,6,7
Mažeikių r. sav.,2005,6,0
Plungės r. sav.,2005,6,4
Telšių r. sav.,2005,6,3
Utenos apskritis,2005,6,6
Visagino sav.,2005,6,0
Anykščių r. sav.,2005,6,0
Ignalinos r. sav.,2005,6,0
Molėtų r. sav.,2005,6,0
Utenos r. sav.,2005,6,6
Zarasų r. sav.,2005,6,0
Vilniaus apskritis,2005,6,13
Vilniaus m. sav.,2005,6,12
Šalčininkų r. sav.,2005,6,0
Širvintų r. sav.,2005,6,0
Švenčionių r. sav.,2005,6,0
Ukmergės r. sav.,2005,6,1
Vilniaus r. sav.,2005,6,1
Trakų r. sav.,2005,6,0
Alytaus apskritis,2005,7,4
Alytaus m. sav.,2005,7,1
Druskininkų sav.,2005,7,0
Alytaus r. sav.,2005,7,0
Lazdijų r. sav.,2005,7,3
Varėnos r. sav.,2005,7,0
Kauno apskritis,2005,7,50
Kauno m. sav.,2005,7,38
Jonavos r. sav.,2005,7,2
Kaišiadorių r. sav.,2005,7,2
Kauno r. sav.,2005,7,3
Kėdainių r. sav.,2005,7,2
Prienų r. sav.,2005,7,0
Raseinių r. sav.,2005,7,3
Klaipėdos apskritis,2005,7,6
Klaipėdos m. sav.,2005,7,1
Palangos m. sav.,2005,7,0
Klaipėdos r. sav.,2005,7,1
Kretingos r. sav.,2005,7,4
Skuodo r. sav.,2005,7,0
Šilutės r. sav.,2005,7,0
Marijampolės apskritis,2005,7,1
Marijampolės r. sav.,2005,7,0
Šakių r. sav.,2005,7,1
Vilkaviškio r. sav.,2005,7,0
Panevėžio apskritis,2005,7,16
Panevėžio m. sav.,2005,7,10
Biržų r. sav.,2005,7,1
Kupiškio r. sav.,2005,7,0
Panevėžio r. sav.,2005,7,2
Pasvalio r. sav.,2005,7,0
Rokiškio r. sav.,2005,7,3
Šiaulių apskritis,2005,7,10
Šiaulių m. sav.,2005,7,4
Akmenės r. sav.,2005,7,0
Joniškio r. sav.,2005,7,0
Kelmės r. sav.,2005,7,1
Radviliškio r. sav.,2005,7,0
Šiaulių r. sav.,2005,7,5
Tauragės apskritis,2005,7,7
Jurbarko r. sav.,2005,7,0
Šilalės r. sav.,2005,7,0
Tauragės r. sav.,2005,7,7
Telšių apskritis,2005,7,8
Mažeikių r. sav.,2005,7,1
Plungės r. sav.,2005,7,3
Telšių r. sav.,2005,7,4
Utenos apskritis,2005,7,10
Visagino sav.,2005,7,2
Anykščių r. sav.,2005,7,2
Ignalinos r. sav.,2005,7,0
Molėtų r. sav.,2005,7,0
Utenos r. sav.,2005,7,5
Zarasų r. sav.,2005,7,1
Vilniaus apskritis,2005,7,17
Vilniaus m. sav.,2005,7,16
Šalčininkų r. sav.,2005,7,0
Širvintų r. sav.,2005,7,1
Švenčionių r. sav.,2005,7,0
Ukmergės r. sav.,2005,7,0
Vilniaus r. sav.,2005,7,2
Trakų r. sav.,2005,7,1
Alytaus apskritis,2005,8,3
Alytaus m. sav.,2005,8,2
Druskininkų sav.,2005,8,0
Alytaus r. sav.,2005,8,0
Lazdijų r. sav.,2005,8,1
Varėnos r. sav.,2005,8,0
Kauno apskritis,2005,8,57
Kauno m. sav.,2005,8,45
Jonavos r. sav.,2005,8,4
Kaišiadorių r. sav.,2005,8,3
Kauno r. sav.,2005,8,2
Kėdainių r. sav.,2005,8,1
Prienų r. sav.,2005,8,1
Raseinių r. sav.,2005,8,1
Klaipėdos apskritis,2005,8,12
Klaipėdos m. sav.,2005,8,0
Palangos m. sav.,2005,8,3
Klaipėdos r. sav.,2005,8,3
Kretingos r. sav.,2005,8,2
Skuodo r. sav.,2005,8,0
Šilutės r. sav.,2005,8,4
Marijampolės apskritis,2005,8,4
Marijampolės r. sav.,2005,8,0
Šakių r. sav.,2005,8,2
Vilkaviškio r. sav.,2005,8,2
Panevėžio apskritis,2005,8,25
Panevėžio m. sav.,2005,8,12
Biržų r. sav.,2005,8,0
Kupiškio r. sav.,2005,8,4
Panevėžio r. sav.,2005,8,7
Pasvalio r. sav.,2005,8,1
Rokiškio r. sav.,2005,8,1
Šiaulių apskritis,2005,8,5
Šiaulių m. sav.,2005,8,3
Akmenės r. sav.,2005,8,0
Joniškio r. sav.,2005,8,0
Kelmės r. sav.,2005,8,2
Radviliškio r. sav.,2005,8,0
Šiaulių r. sav.,2005,8,0
Tauragės apskritis,2005,8,8
Jurbarko r. sav.,2005,8,0
Šilalės r. sav.,2005,8,2
Tauragės r. sav.,2005,8,6
Telšių apskritis,2005,8,6
Mažeikių r. sav.,2005,8,0
Plungės r. sav.,2005,8,0
Telšių r. sav.,2005,8,6
Utenos apskritis,2005,8,3
Visagino sav.,2005,8,0
Anykščių r. sav.,2005,8,1
Ignalinos r. sav.,2005,8,1
Molėtų r. sav.,2005,8,0
Utenos r. sav.,2005,8,1
Zarasų r. sav.,2005,8,0
Vilniaus apskritis,2005,8,47
Vilniaus m. sav.,2005,8,43
Šalčininkų r. sav.,2005,8,0
Širvintų r. sav.,2005,8,0
Švenčionių r. sav.,2005,8,2
Ukmergės r. sav.,2005,8,2
Vilniaus r. sav.,2005,8,4
Trakų r. sav.,2005,8,1
Alytaus apskritis,2005,9,3
Alytaus m. sav.,2005,9,1
Druskininkų sav.,2005,9,0
Alytaus r. sav.,2005,9,1
Lazdijų r. sav.,2005,9,1
Varėnos r. sav.,2005,9,0
Kauno apskritis,2005,9,80
Kauno m. sav.,2005,9,49
Jonavos r. sav.,2005,9,3
Kaišiadorių r. sav.,2005,9,7
Kauno r. sav.,2005,9,10
Kėdainių r. sav.,2005,9,3
Prienų r. sav.,2005,9,2
Raseinių r. sav.,2005,9,6
Klaipėdos apskritis,2005,9,10
