name,year,month,infections
Marijampolės apskritis,2011,10,10
Biržų r.,2011,10,3
Kupiškio r.,2011,10,6
Panevėžio r.,2011,10,4
Panevėžys,2011,10,8
Pasvalio r.,2011,10,1
Rokiškio r.,2011,10,3
Panevėžio apskritis,2011,10,25
Akmenės r.,2011,10,4
Joniškio r.,2011,10,0
Kelmės r.,2011,10,7
Radviliškio r.,2011,10,4
Šiauliai,2011,10,15
Šiaulių r.,2011,10,6
Šiaulių apskritis,2011,10,40
Jurbarko r.,2011,10,0
Šilalės r.,2011,10,3
Tauragės r.,2011,10,9
Tauragės apskritis,2011,10,12
Mažeikių r.,2011,10,7
Plungės r.,2011,10,10
Telšių r.,2011,10,14
Telšių apskritis,2011,10,31
Anykščių r.,2011,10,4
Ignalinos r.,2011,10,4
Molėtų r.,2011,10,1
Utenos r.,2011,10,3
Visaginas,2011,10,0
Zarasų r.,2011,10,3
Utenos apskritis,2011,10,15
Šalčininkų r.,2011,10,0
Širvintų r.,2011,10,0
Švenčionių r.,2011,10,4
Trakų r.,2011,10,8
Ukmergės r.,2011,10,2
Vilniaus r.,2011,10,9
Vilnius,2011,10,109
Vilniaus apskritis,2011,10,132
Alytaus r.,2011,11,0
Alytus,2011,11,0
Druskininkai,2011,11,3
Lazdyjų r.,2011,11,0
Varėnos r.,2011,11,3
Alytaus apskritis,2011,11,6
Birštonas,2011,11,0
Jonavos r.,2011,11,5
Kaišiadorių r.,2011,11,1
Kaunas,2011,11,37
Kauno r.,2011,11,3
Kėdainių r.,2011,11,1
Prienų r.,2011,11,2
Raseinių r.,2011,11,2
Kauno apskritis,2011,11,51
Klaipėda,2011,11,5
Klaipėdos r.,2011,11,3
Kretingos r.,2011,11,4
Neringa,2011,11,0
Palanga,2011,11,3
Šilutės r.,2011,11,0
Skuodo r.,2011,11,1
Klaipėdos apskritis,2011,11,16
Marijampolės r.,2011,11,6
Šakių r.,2011,11,0
Vilkaviškio r.,2011,11,1
Marijampolės apskritis,2011,11,7
Biržų r.,2011,11,2
Kupiškio r.,2011,11,7
Panevėžio r.,2011,11,3
Panevėžys,2011,11,11
Pasvalio r.,2011,11,0
Rokiškio r.,2011,11,5
Panevėžio apskritis,2011,11,28
Akmenės r.,2011,11,2
Joniškio r.,2011,11,0
Kelmės r.,2011,11,1
Radviliškio r.,2011,11,3
Šiauliai,2011,11,2
Šiaulių r.,2011,11,0
Šiaulių apskritis,2011,11,9
Jurbarko r.,2011,11,0
Šilalės r.,2011,11,0
Tauragės r.,2011,11,7
Tauragės apskritis,2011,11,7
Mažeikių r.,2011,11,2
Plungės r.,2011,11,0
Telšių r.,2011,11,3
Telšių apskritis,2011,11,5
Anykščių r.,2011,11,5
Ignalinos r.,2011,11,2
Molėtų r.,2011,11,1
Utenos r.,2011,11,3
Visaginas,2011,11,1
Zarasų r.,2011,11,2
Utenos apskritis,2011,11,14
Šalčininkų r.,2011,11,0
Širvintų r.,2011,11,0
Švenčionių r.,2011,11,3
Trakų r.,2011,11,3
Ukmergės r.,2011,11,2
Vilniaus r.,2011,11,10
Vilnius,2011,11,57
Vilniaus apskritis,2011,11,75
Alytaus r.,2011,12,0
Alytus,2011,12,0
Druskininkai,2011,12,0
Lazdyjų r.,2011,12,0
Varėnos r.,2011,12,1
Alytaus apskritis,2011,12,1
Birštonas,2011,12,0
Jonavos r.,2011,12,0
Kaišiadorių r.,2011,12,2
Kaunas,2011,12,18
Kauno r.,2011,12,2
Kėdainių r.,2011,12,0
Prienų r.,2011,12,0
Raseinių r.,2011,12,1
Kauno apskritis,2011,12,23
Klaipėda,2011,12,2
Klaipėdos r.,2011,12,0
Kretingos r.,2011,12,1
Neringa,2011,12,0
Palanga,2011,12,0
Šilutės r.,2011,12,1
Skuodo r.,2011,12,1
Klaipėdos apskritis,2011,12,5
Marijampolės r.,2011,12,0
Šakių r.,2011,12,0
Vilkaviškio r.,2011,12,1
Marijampolės apskritis,2011,12,1
Biržų r.,2011,12,0
Kupiškio r.,2011,12,2
Panevėžio r.,2011,12,3
Panevėžys,2011,12,6
Pasvalio r.,2011,12,0
Rokiškio r.,2011,12,2
Panevėžio apskritis,2011,12,13
Akmenės r.,2011,12,0
Joniškio r.,2011,12,0
Kelmės r.,2011,12,0
Radviliškio r.,2011,12,1
Šiauliai,2011,12,7
Šiaulių r.,2011,12,2
Šiaulių apskritis,2011,12,11
Jurbarko r.,2011,12,0
Šilalės r.,2011,12,2
Tauragės r.,2011,12,3
Tauragės apskritis,2011,12,5
Mažeikių r.,2011,12,2
Plungės r.,2011,12,0
Telšių r.,2011,12,2
Telšių apskritis,2011,12,4
Anykščių r.,2011,12,3
Ignalinos r.,2011,12,1
Molėtų r.,2011,12,0
Utenos r.,2011,12,7
Visaginas,2011,12,0
Zarasų r.,2011,12,1
Utenos apskritis,2011,12,12
Šalčininkų r.,2011,12,2
Širvintų r.,2011,12,1
Švenčionių r.,2011,12,0
Trakų r.,2011,12,0
Ukmergės r.,2011,12,3
Vilniaus r.,2011,12,2
Vilnius,2011,12,34
Vilniaus apskritis,2011,12,42
