,name,year,month,infection,forest cover,population
167,Utenos apskritis,2004,5,2,32.8,178637.0
168,Visagino sav.,2004,5,0,56.0,27915.0
169,Anykščių r. sav.,2004,5,0,30.3,33783.0
170,Ignalinos r. sav.,2004,5,0,35.5,21944.0
171,Molėtų r. sav.,2004,5,0,28.5,24268.0
172,Utenos r. sav.,2004,5,2,31.8,48800.0
173,Zarasų r. sav.,2004,5,0,37.2,21927.0
174,Vilniaus apskritis,2004,5,4,41.9,841748.0
175,Šalčininkų r. sav.,2004,5,0,46.2,38205.0
176,Širvintų r. sav.,2004,5,0,30.5,19677.0
177,Švenčionių r. sav.,2004,5,0,55.8,32002.0
178,Ukmergės r. sav.,2004,5,0,31.3,46920.0
179,Trakų r. sav.,2004,5,1,47.5,36916.0
180,Alytaus apskritis,2004,6,1,49.0,182751.0
181,Alytaus m. sav.,2004,6,1,30.4,70053.0
182,Druskininkų sav.,2004,6,0,69.2,24665.0
183,Alytaus r. sav.,2004,6,0,24.6,31741.0
184,Lazdijų r. sav.,2004,6,0,34.8,26221.0
185,Varėnos r. sav.,2004,6,0,69.0,30071.0
186,Kauno apskritis,2004,6,34,29.5,682074.0
187,Kauno m. sav.,2004,6,17,20.6,363952.0
188,Jonavos r. sav.,2004,6,5,41.8,51510.0
189,Kaišiadorių r. sav.,2004,6,1,31.4,37117.0
190,Kauno r. sav.,2004,6,5,32.6,83167.0
191,Kėdainių r. sav.,2004,6,2,25.5,63692.0
192,Prienų r. sav.,2004,6,1,27.4,34438.0
193,Raseinių r. sav.,2004,6,3,22.9,42958.0
194,Klaipėdos apskritis,2004,6,5,24.7,376854.0
195,Klaipėdos m. sav.,2004,6,4,16.3,186811.0
196,Palangos m. sav.,2004,6,0,39.9,17222.0
197,Klaipėdos r. sav.,2004,6,1,23.8,47367.0
198,Kretingos r. sav.,2004,6,0,33.1,45454.0
199,Skuodo r. sav.,2004,6,0,15.4,24613.0
200,Šilutės r. sav.,2004,6,0,22.1,53143.0
201,Marijampolės apskritis,2004,6,1,21.6,184058.0
202,Marijampolės r. sav.,2004,6,1,,
203,Šakių r. sav.,2004,6,0,22.8,37575.0
204,Vilkaviškio r. sav.,2004,6,0,10.5,49137.0
205,Panevėžio apskritis,2004,6,13,27.2,290097.0
206,Panevėžio m. sav.,2004,6,7,0.6,114917.0
207,Biržų r. sav.,2004,6,0,26.3,34266.0
208,Kupiškio r. sav.,2004,6,0,27.9,23865.0
209,Panevėžio r. sav.,2004,6,3,33.9,42588.0
210,Pasvalio r. sav.,2004,6,0,16.5,33629.0
211,Rokiškio r. sav.,2004,6,3,27.9,40832.0
212,Šiaulių apskritis,2004,6,8,25.8,357441.0
213,Šiaulių m. sav.,2004,6,3,15.0,127805.0
214,Akmenės r. sav.,2004,6,1,32.1,28951.0
215,Joniškio r. sav.,2004,6,0,18.4,31012.0
216,Kelmės r. sav.,2004,6,0,26.2,39498.0
217,Radviliškio r. sav.,2004,6,0,25.7,50638.0
218,Šiaulių r. sav.,2004,6,3,32.6,51002.0
219,Tauragės apskritis,2004,6,1,31.7,130179.0
220,Jurbarko r. sav.,2004,6,1,38.0,36314.0
221,Šilalės r. sav.,2004,6,0,24.0,30768.0
222,Tauragės r. sav.,2004,6,0,38.5,51352.0
223,Telšių apskritis,2004,6,2,32.9,175090.0
224,Mažeikių r. sav.,2004,6,1,29.3,65831.0
225,Plungės r. sav.,2004,6,0,32.7,43349.0
226,Telšių r. sav.,2004,6,1,29.7,55587.0
227,Utenos apskritis,2004,6,6,32.8,178637.0
228,Visagino sav.,2004,6,0,56.0,27915.0
229,Anykščių r. sav.,2004,6,0,30.3,33783.0
230,Ignalinos r. sav.,2004,6,0,35.5,21944.0
231,Molėtų r. sav.,2004,6,1,28.5,24268.0
232,Utenos r. sav.,2004,6,5,31.8,48800.0
233,Zarasų r. sav.,2004,6,0,37.2,21927.0
234,Vilniaus apskritis,2004,6,25,41.9,841748.0
235,Šalčininkų r. sav.,2004,6,0,46.2,38205.0
236,Širvintų r. sav.,2004,6,0,30.5,19677.0
237,Švenčionių r. sav.,2004,6,0,55.8,32002.0
238,Ukmergės r. sav.,2004,6,3,31.3,46920.0
239,Trakų r. sav.,2004,6,1,47.5,36916.0
240,Alytaus apskritis,2004,7,4,49.0,182751.0
241,Alytaus m. sav.,2004,7,1,30.4,70053.0
242,Druskininkų sav.,2004,7,1,69.2,24665.0
243,Alytaus r. sav.,2004,7,1,24.6,31741.0
244,Lazdijų r. sav.,2004,7,1,34.8,26221.0
245,Varėnos r. sav.,2004,7,0,69.0,30071.0
246,Kauno apskritis,2004,7,63,29.5,682074.0
247,Kauno m. sav.,2004,7,41,20.6,363952.0
248,Jonavos r. sav.,2004,7,4,41.8,51510.0
249,Kaišiadorių r. sav.,2004,7,5,31.4,37117.0
250,Kauno r. sav.,2004,7,8,32.6,83167.0
251,Kėdainių r. sav.,2004,7,3,25.5,63692.0
252,Prienų r. sav.,2004,7,1,27.4,34438.0
253,Raseinių r. sav.,2004,7,1,22.9,42958.0
254,Klaipėdos apskritis,2004,7,11,24.7,376854.0
255,Klaipėdos m. sav.,2004,7,4,16.3,186811.0
256,Palangos m. sav.,2004,7,0,39.9,17222.0
257,Klaipėdos r. sav.,2004,7,2,23.8,47367.0
258,Kretingos r. sav.,2004,7,0,33.1,45454.0
